product,kubun,package,days,judgment,limit,note
葛根湯エキス錠S「コタロー」,△,150錠,12.5,大容量,7,"葛根湯エキス錠S「コタロー」
        薬効分類が「漢方製剤」「生薬製剤」に該当する場合は、マオウ成分を含んでいても「対象外（漢方製剤）」
        葛根湯の承認書上の有効成分は「葛根湯エキス（マオウ、カッコン、タイソウ等の抽出エキス）」または「生薬粉末」であり、単一の化学成分である「エフェドリン」を有効成分とする製剤とは法規上みなされないため、「法規制の対象」とはされません。
        葛根湯(4)以外にも､小青竜湯(3)/防風通聖散(1.2､長期想定)/麻黄湯(5)/五虎湯･麻杏甘石湯(4)/麻黄附子細辛湯(4)も同様(ﾏｵｳg/日)"
カイベールC,対象外,48錠,16.0,大容量,5,-
カイベールC,対象外,144錠,48.0,大容量,5,-
カイベールC,対象外,240錠,80.0,大容量,5,-
カロナールA,対象外,12錠,4.0,小容量,7,-
カロナールA,対象外,24錠,8.0,大容量,7,-
カロナールA,対象外,36錠,12.0,大容量,7,-
ガスター10,対象外,6錠,3.0,小容量,5,授乳と薬の専門的な観点（催奇性や乳児への影響）からみると、ファモチジンは授乳中でも比較的安全に使用できる「L1」と考えられています。一方で、市販薬としてのガスター10の添付文書上では「授乳中の人は本剤を服用しないか、服用する場合は授乳を避けて下さい」という注意書きがなされています
ガスター10,対象外,12錠,6.0,大容量,5,授乳と薬の専門的な観点（催奇性や乳児への影響）からみると、ファモチジンは授乳中でも比較的安全に使用できる「L1」と考えられています。一方で、市販薬としてのガスター10の添付文書上では「授乳中の人は本剤を服用しないか、服用する場合は授乳を避けて下さい」という注意書きがなされています
ガスター10 S錠,対象外,6錠,3.0,小容量,5,ガスター10の市販薬で水なしで飲めるタイプは「S錠」。「S」は「スピードSpeedや、スムーズSmoothを意味。
ガスター10 S錠,対象外,12錠,6.0,大容量,5,ガスター10の市販薬で水なしで飲めるタイプは「S錠」。「S」は「スピードSpeedや、スムーズSmoothを意味。
クラリチンEX,対象外,7錠,7.0,小容量,7,"クラリチンEX：Extension拡張や、Extra（特別、厳選された）の頭文字に由来。「医療用（処方薬）からスイッチ（転用）された経緯の区別の意図。
        病院のクラリチンは「アレルギー性鼻炎」だけでなく「蕁麻疹」や「皮膚のかゆみ」にも適応があります。一方、市販のクラリチンEXは【鼻のアレルギー症状（鼻水、鼻づまり、くしゃみ）の緩和】に限定されています。対象年齢も、病院のクラリチンは小児（3歳〜）にも処方されますが、クラリチンEXは【15歳未満は服用できません】。
        現状､市販薬では「皮膚の適応」が外されている。（受診遅延の防止､慢性掻痒には第2世代抗ヒスタミン薬単剤による効果に疑問符）"
クラリチンEX,対象外,14錠,14.0,大容量,7,"クラリチンEX：Extension拡張や、Extra（特別、厳選された）の頭文字に由来。「医療用（処方薬）からスイッチ（転用）された経緯の区別の意図。
        病院のクラリチンは「アレルギー性鼻炎」だけでなく「蕁麻疹」や「皮膚のかゆみ」にも適応があります。一方、市販のクラリチンEXは【鼻のアレルギー症状（鼻水、鼻づまり、くしゃみ）の緩和】に限定されています。対象年齢も、病院のクラリチンは小児（3歳〜）にも処方されますが、クラリチンEXは【15歳未満は服用できません】。
        現状､市販薬では「皮膚の適応」が外されている。（受診遅延の防止､慢性掻痒には第2世代抗ヒスタミン薬単剤による効果に疑問符）"
クラリチンEX,対象外,28錠,28.0,大容量,7,"クラリチンEX：Extension拡張や、Extra（特別、厳選された）の頭文字に由来。「医療用（処方薬）からスイッチ（転用）された経緯の区別の意図。
        病院のクラリチンは「アレルギー性鼻炎」だけでなく「蕁麻疹」や「皮膚のかゆみ」にも適応があります。一方、市販のクラリチンEXは【鼻のアレルギー症状（鼻水、鼻づまり、くしゃみ）の緩和】に限定されています。対象年齢も、病院のクラリチンは小児（3歳〜）にも処方されますが、クラリチンEXは【15歳未満は服用できません】。
        現状､市販薬では「皮膚の適応」が外されている。（受診遅延の防止､慢性掻痒には第2世代抗ヒスタミン薬単剤による効果に疑問符）"
クラリチンEX,対象外,56錠,56.0,大容量,7,"クラリチンEX：Extension拡張や、Extra（特別、厳選された）の頭文字に由来。「医療用（処方薬）からスイッチ（転用）された経緯の区別の意図。
        病院のクラリチンは「アレルギー性鼻炎」だけでなく「蕁麻疹」や「皮膚のかゆみ」にも適応があります。一方、市販のクラリチンEXは【鼻のアレルギー症状（鼻水、鼻づまり、くしゃみ）の緩和】に限定されています。対象年齢も、病院のクラリチンは小児（3歳〜）にも処方されますが、クラリチンEXは【15歳未満は服用できません】。
        現状､市販薬では「皮膚の適応」が外されている。（受診遅延の防止､慢性掻痒には第2世代抗ヒスタミン薬単剤による効果に疑問符）"
サクロンQ,対象外,6錠,1.0,小容量,5,処方箋薬名では「ストロカイン」
サクロンQ,対象外,12錠,2.0,小容量,5,処方箋薬名では「ストロカイン」
新ウリエースBT,一般用検査薬,15枚,,小容量,5,-
新ウリエースBT,一般用検査薬,60枚,,小容量,5,-
新コンタック鼻炎Z,＊対象外,16錠,16.0,大容量,7,"新コンタック鼻炎Z：コンタックブランドの中で唯一､指定濫用成分含まない｡
        セチリジン（第2世代）が寝る前1回持続。ただし、セチリジン塩酸塩は「妊婦又は妊娠している可能性のある婦人（禁忌）」と添付に明記
        　その他「600プラス/総合かぜ薬/かぜ総合DX/かぜ総合/せき止めダブル/総合感冒薬EX」等、総じて指定濫用成分含む"
新コンタック鼻炎Z,＊対象外,32錠,32.0,大容量,7,"新コンタック鼻炎Z：コンタックブランドの中で唯一､指定濫用成分含まない｡
        セチリジン（第2世代）が寝る前1回持続。ただし、セチリジン塩酸塩は「妊婦又は妊娠している可能性のある婦人（禁忌）」と添付に明記
        　その他「600プラス/総合かぜ薬/かぜ総合DX/かぜ総合/せき止めダブル/総合感冒薬EX」等、総じて指定濫用成分含む"
セルベール,対象外,12包,4.0,小容量,5,粉薬タイプの「セルベール（細粒）」には「整胃錠」のように「整胃」という言葉が製品名に直接入っていません。製造元が理由ではなく、単に「錠剤（錠）」か「粉薬（細粒）」かの名称の区別によるもの
セルベール,対象外,27包,9.0,大容量,5,粉薬タイプの「セルベール（細粒）」には「整胃錠」のように「整胃」という言葉が製品名に直接入っていません。製造元が理由ではなく、単に「錠剤（錠）」か「粉薬（細粒）」かの名称の区別によるもの
セルベール整胃錠,対象外,12錠,4.0,小容量,5,-
セルベール整胃錠,対象外,21錠,7.0,大容量,5,-
セルベール整胃錠,対象外,45錠,15.0,大容量,5,-
新セルベール整胃プレミアム〈錠〉,対象外,18錠,6.0,大容量,5,-
新セルベール整胃プレミアム〈錠〉,対象外,36錠,12.0,大容量,5,-
新セルベール整胃プレミアム〈錠〉,対象外,72錠,24.0,大容量,5,-
正露丸,対象外,100丸,11.1,大容量,5,"木クレオソート：主な目的は、下痢・軟便、お腹の不快感の解消。作用機序は、腸の水分分泌抑制、蠕動運動の正常化
        PMDAの基準では、「直径6mm以上の丸剤や錠剤は、窒息や誤嚥の危険があるため5歳未満の乳幼児に服用させてはならない」と定められています。
        5歳未満の乳幼児を対象とした木クレオソートの安全性や適切な投与量に関する明確な臨床データが十分に存在しない
        5歳未満、特に乳幼児の下痢は、薬で無理に止めるよりも「脱水症状の防止（水分補給）」と「速やかな受診」が最優先されます"
タイレノールA,対象外,10錠,3.3,小容量,7,"タイレノール：米J&J製。1955年アメリカで誕生、2000年 に日本で市販化。化学名「N-acetyl-p-aminophenol」から一部抜いて命名
                　　　　市販の「タイレノール小児用」は日本に存在しない（15才以上のタイレノールAのみ）。
        カロナール：国内医療用発祥。1970年代〜。「軽くなる」由来。日本では2024年 に市販化
        　　　　　　2025年に「5才以上から飲めるジュニア用（小粒・低用量）」や「微粒（粉薬）タイプ」がラインナップに登場"
タイレノールA,対象外,20錠,6.7,小容量,7,"タイレノール：米J&J製。1955年アメリカで誕生、2000年 に日本で市販化。化学名「N-acetyl-p-aminophenol」から一部抜いて命名
                　　　　市販の「タイレノール小児用」は日本に存在しない（15才以上のタイレノールAのみ）。
        カロナール：国内医療用発祥。1970年代〜。「軽くなる」由来。日本では2024年 に市販化
        　　　　　　2025年に「5才以上から飲めるジュニア用（小粒・低用量）」や「微粒（粉薬）タイプ」がラインナップに登場"
タイレノールA,対象外,30錠,10.0,大容量,7,"タイレノール：米J&J製。1955年アメリカで誕生、2000年 に日本で市販化。化学名「N-acetyl-p-aminophenol」から一部抜いて命名
                　　　　市販の「タイレノール小児用」は日本に存在しない（15才以上のタイレノールAのみ）。
        カロナール：国内医療用発祥。1970年代〜。「軽くなる」由来。日本では2024年 に市販化
        　　　　　　2025年に「5才以上から飲めるジュニア用（小粒・低用量）」や「微粒（粉薬）タイプ」がラインナップに登場"
タリオンAR,対象外,10錠,5.0,小容量,7,"タリオンAR：Allergic Rhinitisアレルギー性鼻炎の頭文字に由来。鼻炎（AR）専用の市販薬という意味
        現状､市販薬では「皮膚の適応」が外されている。（受診遅延の防止､慢性掻痒には第2世代抗ヒスタミン薬単剤による効果に疑問符）"
タリオンAR,対象外,30錠,15.0,大容量,7,"タリオンAR：Allergic Rhinitisアレルギー性鼻炎の頭文字に由来。鼻炎（AR）専用の市販薬という意味
        現状､市販薬では「皮膚の適応」が外されている。（受診遅延の防止､慢性掻痒には第2世代抗ヒスタミン薬単剤による効果に疑問符）"
タリオンAR,対象外,60錠,30.0,大容量,7,"タリオンAR：Allergic Rhinitisアレルギー性鼻炎の頭文字に由来。鼻炎（AR）専用の市販薬という意味
        現状､市販薬では「皮膚の適応」が外されている。（受診遅延の防止､慢性掻痒には第2世代抗ヒスタミン薬単剤による効果に疑問符）"
トラベルミンR,＊対象外,6錠,3.0,小容量,5,"""トラベルミンR：「眠くなりにくい（Reduce somnolence）」or「リフレッシュ（Refresh）」に由来とされる。
        Rはジフェニドールが主役で、制限対象のジフェンヒドラミンが含まれない。「旅行を楽しめるように」との意図も｡ただし､11才未満は服用不可
        ＊市販無印トラベルミン錠(医療用と同成分)はジフェンヒドラミン含むため、販売制限対象。（15才から服用可）
        　　参考:トラベルミン・ジュニア：成分量を大人の半分にカットし、5才〜14才専用として販売
　　　　　　ﾄﾗﾍﾞﾙﾐﾝ「1」は問題なし(メクリジン ＋ スコポラミン｡15歳から)｡『ファミリー』は、『1』の成分量を半分にした同一レシピ製品､5歳から。"
バファリンプレミアムDX,対象外,20錠,3.3,小容量,7,"""バファリンシリーズはすべて対象外
　　バファリンプレミアムDX ：改名前。シリーズ最速・最強(ﾌﾟﾚﾐｱﾑより鎮痛成分を約20％増)、眠くならない
       　 バファリンプレミアムDXクイック＋：改名後。『バファリンプレミアムDX』は2025年よりこの名称に順次リニューアル（2025年7月､JANも同一）
        　　　「プレミアム ＝ 鎮痛成分 ＋ 眠気成分」（アリルイソプロピルアセチル尿素:鎮静強いが､指定濫用防止はなし｡運転は不可）
        　　　「プレミアムDX ＝ 鎮痛成分(2種)20%増量(市販最大量) - 眠気成分」（引き算｡運転可）
        バファリンライト：胃に一番優しい、マイルドな効き目（「大人の胃に優しいライト」。 バファリンAに比べ、アスピリンの量が少なめ｡15歳未満不可）
        バファリンルナJ：小中高校生用（Junior_7〜15才未満）、水なしで飲めるチュアブル。ルナ（Luna）：ローマ神話「月の女神」主に女性の悩みに寄り添うシリーズ。（アスピリン・イブプロフェン不使用、子どもにも安全な「アセトアミノフェン」）
        バファリンルナi：15才以上。生理痛・頭痛向け、眠くならない、小粒。「i」：痛みをブロックする主成分Ibuprofenの頭文字”"
バファリンプレミアムDX,対象外,40錠,6.7,小容量,7,"""バファリンシリーズはすべて対象外
　　バファリンプレミアムDX ：改名前。シリーズ最速・最強(ﾌﾟﾚﾐｱﾑより鎮痛成分を約20％増)、眠くならない
       　 バファリンプレミアムDXクイック＋：改名後。『バファリンプレミアムDX』は2025年よりこの名称に順次リニューアル（2025年7月､JANも同一）
        　　　「プレミアム ＝ 鎮痛成分 ＋ 眠気成分」（アリルイソプロピルアセチル尿素:鎮静強いが､指定濫用防止はなし｡運転は不可）
        　　　「プレミアムDX ＝ 鎮痛成分(2種)20%増量(市販最大量) - 眠気成分」（引き算｡運転可）
        バファリンライト：胃に一番優しい、マイルドな効き目（「大人の胃に優しいライト」。 バファリンAに比べ、アスピリンの量が少なめ｡15歳未満不可）
        バファリンルナJ：小中高校生用（Junior_7〜15才未満）、水なしで飲めるチュアブル。ルナ（Luna）：ローマ神話「月の女神」主に女性の悩みに寄り添うシリーズ。（アスピリン・イブプロフェン不使用、子どもにも安全な「アセトアミノフェン」）
        バファリンルナi：15才以上。生理痛・頭痛向け、眠くならない、小粒。「i」：痛みをブロックする主成分Ibuprofenの頭文字”"
バファリンプレミアムDX,対象外,60錠,10.0,大容量,7,"""バファリンシリーズはすべて対象外
　　バファリンプレミアムDX ：改名前。シリーズ最速・最強(ﾌﾟﾚﾐｱﾑより鎮痛成分を約20％増)、眠くならない
       　 バファリンプレミアムDXクイック＋：改名後。『バファリンプレミアムDX』は2025年よりこの名称に順次リニューアル（2025年7月､JANも同一）
        　　　「プレミアム ＝ 鎮痛成分 ＋ 眠気成分」（アリルイソプロピルアセチル尿素:鎮静強いが､指定濫用防止はなし｡運転は不可）
        　　　「プレミアムDX ＝ 鎮痛成分(2種)20%増量(市販最大量) - 眠気成分」（引き算｡運転可）
        バファリンライト：胃に一番優しい、マイルドな効き目（「大人の胃に優しいライト」。 バファリンAに比べ、アスピリンの量が少なめ｡15歳未満不可）
        バファリンルナJ：小中高校生用（Junior_7〜15才未満）、水なしで飲めるチュアブル。ルナ（Luna）：ローマ神話「月の女神」主に女性の悩みに寄り添うシリーズ。（アスピリン・イブプロフェン不使用、子どもにも安全な「アセトアミノフェン」）
        バファリンルナi：15才以上。生理痛・頭痛向け、眠くならない、小粒。「i」：痛みをブロックする主成分Ibuprofenの頭文字”"
ブスコパンA錠,対象外,20錠,6.7,大容量,5,医療用（病院の薬）の先発「ブスコパン錠10mg」は2026年4月に販売中止｡GE「ツルハラ」などは、製造・販売継続
ムヒAZ錠,対象外,12錠,6.0,大容量,5,"ムヒAZ錠：AZはアゼラスチンのスペル由来
        高いかゆみ止め効果を維持しながら、眠気やだるさを最小限に抑える設計（※ただし運転は不可）
        数少ない「市販･皮膚掻痒対策･第2世代抗ﾋｽ」｡他にｱｾﾞﾗｽﾁﾝ同成分「アレジンAZ錠」､ﾒｷﾀｼﾞﾝ配合「ｼﾞﾝﾏｰﾄ錠」のみ｡いずれも15才以上。
        　　第1世代では、ジフェンヒドラミン配合『レスタミンコーワ糖衣錠』（5才〜）､クロルフェニラミン配合『アレルギール錠』（4才〜）"
ムヒAZ錠,対象外,24錠,12.0,大容量,5,"ムヒAZ錠：AZはアゼラスチンのスペル由来
        高いかゆみ止め効果を維持しながら、眠気やだるさを最小限に抑える設計（※ただし運転は不可）
        数少ない「市販･皮膚掻痒対策･第2世代抗ﾋｽ」｡他にｱｾﾞﾗｽﾁﾝ同成分「アレジンAZ錠」､ﾒｷﾀｼﾞﾝ配合「ｼﾞﾝﾏｰﾄ錠」のみ｡いずれも15才以上。
        　　第1世代では、ジフェンヒドラミン配合『レスタミンコーワ糖衣錠』（5才〜）､クロルフェニラミン配合『アレルギール錠』（4才〜）"
レディガードコーワ,対象外,20錠,6.7,大容量,5,医療用医薬品（先発品）の商品名は「ブラダロン錠200mg」
ローカスタEX,対象外,90カプセル,15.0,大容量,5,「ローカスタEX ＝ パントシン（パンテチン） ＋ ユベラ（ビタミンE） ＋ 大豆由来成分(ソイステロール；大豆油不けん化物600mg)」
ローカスタEX,対象外,180カプセル,30.0,大容量,5,「ローカスタEX ＝ パントシン（パンテチン） ＋ ユベラ（ビタミンE） ＋ 大豆由来成分(ソイステロール；大豆油不けん化物600mg)」
強肝，解毒，強力グットA錠,対象外,12錠,1.2,小容量,5,二日酔い・肝臓の疲れに。肝細胞を保護するオロチン酸や解毒を助けるメチオニン・ウコン等を配合
強肝，解毒，強力グットA錠,対象外,24錠,2.4,小容量,5,二日酔い・肝臓の疲れに。肝細胞を保護するオロチン酸や解毒を助けるメチオニン・ウコン等を配合
強肝，解毒，強力グットA錠,対象外,30錠,3.0,小容量,5,二日酔い・肝臓の疲れに。肝細胞を保護するオロチン酸や解毒を助けるメチオニン・ウコン等を配合
強肝，解毒，強力グットA錠,対象外,70錠,7.0,大容量,5,二日酔い・肝臓の疲れに。肝細胞を保護するオロチン酸や解毒を助けるメチオニン・ウコン等を配合
強肝，解毒，強力グットA錠,対象外,75錠,7.5,大容量,5,二日酔い・肝臓の疲れに。肝細胞を保護するオロチン酸や解毒を助けるメチオニン・ウコン等を配合
強肝，解毒，強力グットA錠,対象外,100錠,10.0,大容量,5,二日酔い・肝臓の疲れに。肝細胞を保護するオロチン酸や解毒を助けるメチオニン・ウコン等を配合
強肝，解毒，強力グットA錠,対象外,200錠,20.0,大容量,5,二日酔い・肝臓の疲れに。肝細胞を保護するオロチン酸や解毒を助けるメチオニン・ウコン等を配合
強肝，解毒，強力グットA錠,対象外,270錠,27.0,大容量,5,二日酔い・肝臓の疲れに。肝細胞を保護するオロチン酸や解毒を助けるメチオニン・ウコン等を配合
女性保健薬 命の母A,対象外,84錠,7.0,大容量,5,"メグリビa：「更年期＋肌悩み」に。生薬13種､自律神経と肌を整える「加味逍遙散合四物湯」
命の母A：更年期の総合不調に。生薬13種にビタミンB群やカルシウムなど
アクティブ：更年期後関節・筋肉痛に。生薬10種｡骨・筋肉を補うゴシツやトウキなど
ホワイト：PMS生理前・生理痛に。生薬11種｡血の滞りを巡らせ痛みを鎮めるトウニンやダイオウなど"
女性保健薬 命の母A,対象外,252錠,21.0,大容量,5,"メグリビa：「更年期＋肌悩み」に。生薬13種､自律神経と肌を整える「加味逍遙散合四物湯」
命の母A：更年期の総合不調に。生薬13種にビタミンB群やカルシウムなど
アクティブ：更年期後関節・筋肉痛に。生薬10種｡骨・筋肉を補うゴシツやトウキなど
ホワイト：PMS生理前・生理痛に。生薬11種｡血の滞りを巡らせ痛みを鎮めるトウニンやダイオウなど"
女性保健薬 命の母A,対象外,420錠,35.0,大容量,5,"メグリビa：「更年期＋肌悩み」に。生薬13種､自律神経と肌を整える「加味逍遙散合四物湯」
命の母A：更年期の総合不調に。生薬13種にビタミンB群やカルシウムなど
アクティブ：更年期後関節・筋肉痛に。生薬10種｡骨・筋肉を補うゴシツやトウキなど
ホワイト：PMS生理前・生理痛に。生薬11種｡血の滞りを巡らせ痛みを鎮めるトウニンやダイオウなど"
女性保健薬 命の母A,対象外,840錠,70.0,大容量,5,"メグリビa：「更年期＋肌悩み」に。生薬13種､自律神経と肌を整える「加味逍遙散合四物湯」
命の母A：更年期の総合不調に。生薬13種にビタミンB群やカルシウムなど
アクティブ：更年期後関節・筋肉痛に。生薬10種｡骨・筋肉を補うゴシツやトウキなど
ホワイト：PMS生理前・生理痛に。生薬11種｡血の滞りを巡らせ痛みを鎮めるトウニンやダイオウなど"
