指定濫用防止区分,指定濫用防止容量,JAN,商品名,正規化商品名,正規化包装数量,正規表現キー,正規化処理
対象外,-,4987241116553,☆ﾒﾝｿﾚｰﾀﾑﾌﾚﾃﾞｨCCｸﾘｰﾑ,,,,対象外・処理しない
対象外,-,4987443354913,☆ﾗﾐｼｰﾙAT液 10g,,,,対象外・処理しない
対象外,-,4987443354906,☆ﾗﾐｼｰﾙATｸﾘｰﾑ,,,,対象外・処理しない
対象外,-,4987305265814,☆ﾗﾐｼｰﾙATｸﾘｰﾑ,,,,対象外・処理しない
対象外,-,4987904100851,☆ﾘﾝﾃﾞﾛﾝVsｸﾘｰﾑ,,,,対象外・処理しない
対象外,-,4987904100837,☆ﾘﾝﾃﾞﾛﾝVs軟膏,,,,対象外・処理しない
対象外,-,4987904100844,☆ﾘﾝﾃﾞﾛﾝVS軟膏 10g,,,,対象外・処理しない
対象外,-,4987067276509,☆ﾚﾃﾞｨｶﾞｰﾄﾞｺｰﾜ,,,,対象外・処理しない
対象外,-,4987087038835,☆ﾛｰｶｽﾀEX,,,,対象外・処理しない
対象外,-,4987241100378,☆ﾛｰﾄ ｱﾙｶﾞｰﾄﾞｺﾝﾀｸﾄ,,,,対象外・処理しない
対象外,-,4987241134229,☆ﾛｰﾄｱﾙｶﾞｰﾄﾞﾌﾟﾚﾃｸﾄ,,,,対象外・処理しない
対象外,-,4987107631985,☆ﾛｷｿﾆﾝEXﾃｰﾌﾟ 7枚,,,,対象外・処理しない
対象外,-,4987107632005,☆ﾛｷｿﾆﾝEXﾃｰﾌﾟL 7枚,,,,対象外・処理しない
対象外,-,4987107610867,☆ﾛｷｿﾆﾝS 12錠,,,,対象外・処理しない
対象外,-,4987107634696,☆ﾛｷｿﾆﾝS ﾌﾟﾚﾐｱﾑﾌｧｲﾝ 12錠,,,,対象外・処理しない
対象外,-,4987107630025,☆ﾛｷｿﾆﾝSｸｲｯｸ 12錠,,,,対象外・処理しない
対象外,-,4987107617866,☆ﾛｷｿﾆﾝSﾃｰﾌﾟ,,,,対象外・処理しない
対象外,-,4987107617859,☆ﾛｷｿﾆﾝSﾃｰﾌﾟ 7枚入,,,,対象外・処理しない
対象外,-,4987107617873,☆ﾛｷｿﾆﾝSﾃｰﾌﾟ L,,,,対象外・処理しない
対象外,-,4987107617668,☆ﾛｷｿﾆﾝSﾌﾟﾗｽ１２錠,,,,対象外・処理しない
対象外,-,4987107619006,☆ﾛｷｿﾆﾝSﾌﾟﾚﾐｱﾑ,,,,対象外・処理しない
対象外,-,4987107619013,☆ﾛｷｿﾆﾝSﾌﾟﾚﾐｱﾑ,,,,対象外・処理しない
対象外,-,4987343084910,☆ﾛｷｿﾌﾟﾛﾌｪﾝ錠「ｸﾆﾋﾛ」 12錠,,,,対象外・処理しない
対象外,-,4560389400106,☆ﾛｷｿﾌﾟﾛﾌｪﾝ錠「LS」 12錠,,,,対象外・処理しない
